,rbfsvm,lightgbm,gbc
Neg_test177,0,0,0
Neg_test179,0,0,0
Neg_test181,0,0,0
Neg_test183,0,0,0
Neg_test185,0,0,0
Neg_test187,0,0,0
Neg_test189,0,0,0
Neg_test191,0,0,0
Neg_test193,0,0,0
Neg_test195,0,0,0
Neg_test197,0,0,0
Neg_test199,0,0,0
Neg_test201,0,0,0
Neg_test203,1,1,1
Neg_test205,0,0,0
Neg_test207,1,0,0
Neg_test209,0,0,0
Neg_test211,0,0,0
Neg_test213,0,0,0
Neg_test215,0,0,0
Neg_test217,0,0,0
Neg_test219,0,0,0
Neg_test221,0,1,1
Neg_test223,0,0,0
Neg_test225,0,0,0
Neg_test227,0,0,0
Neg_test229,0,0,0
Neg_test231,0,0,0
Neg_test233,0,0,0
Neg_test235,0,0,0
Neg_test237,1,1,1
Neg_test239,0,0,0
Neg_test241,0,0,0
Neg_test243,0,0,0
Neg_test245,0,0,0
Neg_test247,0,0,0
Neg_test249,0,0,0
Neg_test251,0,0,0
Neg_test253,0,0,0
Neg_test255,0,0,0
Neg_test257,0,0,0
Neg_test259,0,0,0
Neg_test261,0,0,0
Neg_test263,0,0,0
Neg_test265,0,0,0
Neg_test267,0,0,0
Neg_test269,0,0,0
Neg_test271,0,0,0
Neg_test273,1,1,1
Neg_test275,0,0,0
Neg_test277,0,0,0
Neg_test279,0,0,0
Neg_test281,0,0,0
Neg_test283,0,0,0
Neg_test285,0,0,0
Neg_test287,0,0,0
Neg_test289,0,0,0
Neg_test291,0,0,0
Neg_test293,0,0,0
Neg_test295,0,0,0
Neg_test297,0,0,0
Neg_test299,0,0,0
Neg_test301,0,0,1
Neg_test303,0,0,0
Neg_test305,1,0,0
Neg_test307,1,1,0
Neg_test309,0,0,0
Neg_test311,0,0,0
Neg_test313,0,0,0
Neg_test315,0,0,0
Neg_test317,0,0,0
Neg_test319,0,0,0
Neg_test321,0,0,0
Neg_test323,0,0,0
Neg_test325,0,0,0
Neg_test327,0,0,1
Neg_test329,0,0,0
Neg_test331,0,0,0
Neg_test333,1,1,1
Neg_test335,0,0,0
Neg_test337,0,0,0
Neg_test339,0,0,0
Neg_test341,0,1,1
Neg_test343,0,0,0
Neg_test345,0,0,0
Neg_test347,0,0,0
Neg_test349,0,0,0
Neg_test351,0,0,0
Neg_test353,0,0,0
Neg_test355,0,0,0
Neg_test357,0,0,0
Neg_test359,0,0,0
Neg_test361,0,0,0
Neg_test363,0,0,0
Neg_test365,1,1,1
Neg_test367,0,0,0
Neg_test369,0,0,0
Neg_test371,0,0,0
Neg_test373,0,0,0
Neg_test375,0,0,0
Neg_test377,0,0,0
Neg_test379,0,0,0
Neg_test381,0,0,0
Neg_test383,0,0,0
Neg_test385,0,0,0
Neg_test387,0,0,0
Neg_test389,0,0,0
Neg_test391,0,0,0
Neg_test393,0,0,0
Neg_test395,1,1,1
Neg_test397,0,0,0
Neg_test399,0,0,0
Neg_test401,0,0,0
Neg_test403,0,0,0
Neg_test405,0,0,0
Neg_test407,0,0,0
Neg_test409,0,0,0
Neg_test411,0,0,0
Neg_test413,0,0,0
Neg_test415,0,0,0
Neg_test417,0,0,0
Neg_test419,0,0,0
Neg_test421,0,0,0
Neg_test423,0,1,0
Neg_test425,0,0,0
Neg_test427,0,0,0
Neg_test429,0,0,0
Neg_test431,0,0,0
Neg_test433,0,0,0
Neg_test435,0,0,0
Neg_test437,0,0,0
Neg_test439,0,0,0
Neg_test441,0,0,0
Neg_test443,0,0,0
Neg_test445,0,0,0
Neg_test447,0,0,0
Neg_test449,0,0,0
Neg_test451,0,0,1
Neg_test453,0,0,0
Neg_test455,0,0,0
Neg_test457,0,0,0
Neg_test459,0,0,0
Neg_test461,0,0,0
Neg_test463,1,1,1
Neg_test465,0,0,0
Neg_test467,0,0,0
Neg_test469,0,0,0
Neg_test471,1,1,1
Neg_test473,0,0,0
Neg_test475,0,0,0
Neg_test477,0,0,0
Neg_test479,0,0,0
Neg_test481,0,0,0
Neg_test483,0,0,0
Neg_test485,0,0,0
Neg_test487,0,0,0
Neg_test489,0,0,0
Neg_test491,1,1,1
Neg_test493,0,0,0
Neg_test495,0,0,0
Neg_test497,0,0,0
Neg_test499,0,0,0
Neg_test501,0,0,0
Neg_test503,0,0,0
Neg_test505,0,0,0
Neg_test507,0,0,0
Neg_test509,0,0,0
Neg_test511,0,0,0
Neg_test513,0,0,0
Neg_test515,0,0,0
Neg_test517,0,0,0
Neg_test519,0,0,0
Neg_test521,0,0,0
Neg_test523,0,0,0
Neg_test525,0,1,1
Neg_test527,0,0,0
Neg_test529,0,0,0
Neg_test531,0,0,0
Neg_test533,0,0,0
Neg_test535,0,0,0
Neg_test537,0,0,0
Neg_test539,0,0,0
Neg_test541,0,0,0
Neg_test543,0,0,0
Neg_test545,0,0,0
Neg_test547,0,0,0
Neg_test549,0,0,0
Neg_test551,0,0,0
Neg_test553,0,0,0
Neg_test555,0,0,0
Neg_test557,0,0,0
Neg_test559,0,0,0
Neg_test561,0,0,0
Neg_test563,1,1,1
Neg_test565,0,0,0
Neg_test567,0,0,0
Neg_test569,0,0,0
Neg_test571,0,0,0
Neg_test573,0,0,0
Neg_test575,0,0,0
Neg_test577,0,0,0
Neg_test579,0,0,0
Neg_test581,0,0,0
Neg_test583,0,0,0
Neg_test585,0,0,0
Neg_test587,0,0,0
Neg_test589,0,0,0
Neg_test591,0,0,0
Neg_test593,0,0,0
Neg_test595,0,0,0
Neg_test597,0,0,0
Neg_test599,0,0,0
Neg_test601,0,0,1
Neg_test603,0,0,0
Neg_test605,0,0,0
Neg_test607,0,0,0
Neg_test609,0,0,0
Neg_test611,0,0,0
Neg_test613,0,0,0
Neg_test615,0,0,1
Neg_test617,0,0,0
Neg_test619,0,0,0
Neg_test621,0,0,0
Neg_test623,0,0,0
Neg_test625,0,0,0
Neg_test627,0,0,0
Neg_test629,0,0,0
Neg_test631,0,0,0
Neg_test633,0,0,0
Neg_test635,0,0,0
Neg_test637,0,0,0
Neg_test639,0,0,0
Neg_test641,0,0,0
Neg_test643,0,0,0
Neg_test645,0,0,0
Neg_test647,0,0,0
P_test_1,1,1,1
P_test_2,1,1,1
P_test_3,1,1,1
P_test_4,1,1,1
P_test_5,1,1,1
P_test_6,1,1,1
P_test_7,1,1,1
P_test_8,1,1,1
P_test_9,1,1,1
P_test_10,1,1,0
P_test_11,0,0,0
P_test_12,1,1,1
P_test_13,1,1,1
P_test_14,1,1,1
P_test_15,1,1,1
P_test_16,1,1,1
P_test_17,1,1,1
P_test_18,1,1,1
P_test_19,1,1,1
P_test_20,1,1,1
P_test_21,1,1,1
P_test_22,1,1,1
P_test_23,1,1,1
P_test_24,1,1,1
P_test_25,1,1,1
P_test_26,1,1,1
P_test_27,1,1,1
P_test_28,1,1,1
P_test_29,1,1,1
P_test_30,1,1,1
P_test_31,1,1,1
P_test_32,1,1,1
P_test_33,1,1,1
P_test_34,1,1,1
P_test_35,1,1,1
P_test_36,1,1,1
P_test_37,1,1,1
P_test_38,1,1,1
P_test_39,1,1,1
P_test_40,1,1,1
P_test_41,1,1,1
P_test_42,1,1,1
P_test_43,1,1,1
P_test_44,1,1,1
P_test_45,1,1,1
P_test_46,1,1,1
P_test_47,1,1,1
P_test_48,1,1,1
P_test_49,1,1,1
P_test_50,1,1,1
P_test_51,1,1,1
P_test_52,1,1,1
P_test_53,1,1,1
P_test_54,1,1,1
P_test_55,1,1,1
P_test_56,1,1,1
P_test_57,1,1,1
P_test_58,1,1,1
P_test_59,1,1,1
P_test_60,1,1,1
P_test_61,1,1,1
P_test_62,1,1,1
P_test_63,1,1,1
P_test_64,1,1,1
P_test_65,1,1,1
P_test_66,1,1,1
P_test_67,1,1,1
P_test_68,0,1,0
P_test_69,1,1,1
P_test_70,1,1,1
P_test_71,1,1,1
P_test_72,1,1,1
P_test_73,1,1,1
P_test_74,1,1,1
P_test_75,1,1,1
P_test_76,1,1,1
P_test_77,1,1,1
P_test_78,1,1,1
P_test_79,1,1,1
P_test_80,1,1,1
P_test_81,1,1,1
P_test_82,1,1,1
P_test_83,1,1,1
P_test_84,1,1,1
P_test_85,1,1,1
P_test_86,1,1,1
P_test_87,1,1,1
P_test_88,1,1,1
P_test_89,1,1,1
P_test_90,1,1,1
P_test_91,1,1,1
P_test_92,1,1,1
P_test_93,1,1,1
P_test_94,1,1,1
P_test_95,1,1,1
P_test_96,1,1,1
P_test_97,1,1,1
P_test_98,1,1,1
P_test_99,1,1,1
P_test_100,1,1,1
P_test_101,1,1,1
P_test_102,1,1,1
P_test_103,1,1,1
P_test_104,1,1,1
P_test_105,1,1,1
P_test_106,1,1,1
P_test_107,1,1,1
P_test_108,1,1,1
P_test_109,1,1,1
P_test_110,1,1,1
P_test_111,1,1,1
P_test_112,1,1,1
P_test_113,1,1,1
P_test_114,1,1,1
P_test_115,1,1,1
P_test_116,1,1,1
P_test_117,1,1,1
P_test_118,1,1,1
P_test_119,1,1,1
P_test_120,1,1,1
P_test_121,1,1,1
P_test_122,1,1,1
P_test_123,1,1,1
P_test_124,1,1,1
P_test_125,1,1,1
P_test_126,1,1,1
P_test_127,1,1,1
P_test_128,1,1,1
P_test_129,1,1,1
P_test_130,1,1,1
P_test_131,1,1,1
P_test_132,1,1,1
P_test_133,1,1,1
P_test_134,1,1,1
P_test_135,1,1,1
P_test_136,1,1,1
P_test_137,1,1,1
P_test_138,1,1,1
P_test_139,1,1,1
P_test_140,1,1,1
P_test_141,1,1,1
P_test_142,1,1,1
P_test_143,1,1,1
P_test_144,1,1,1
P_test_145,1,1,1
P_test_146,1,1,1
P_test_147,1,1,1
P_test_148,1,1,1
P_test_149,1,1,1
P_test_150,1,1,1
P_test_151,1,1,1
P_test_152,1,1,1
P_test_153,1,1,1
P_test_154,1,1,1
P_test_155,1,1,1
P_test_156,1,1,1
P_test_157,1,1,1
P_test_158,1,1,1
P_test_159,1,1,1
P_test_160,1,1,1
P_test_161,1,1,1
P_test_162,1,1,1
P_test_163,1,1,1
P_test_164,1,1,1
P_test_165,1,1,1
P_test_166,1,1,1
P_test_167,1,1,1
P_test_168,1,1,1
P_test_169,1,1,1
P_test_170,1,1,1
P_test_171,1,1,1
P_test_172,1,1,1
P_test_173,1,1,1
P_test_174,1,1,1
P_test_175,1,1,1
P_test_176,1,1,1
P_test_177,1,1,1
P_test_178,1,1,1
P_test_179,1,1,1
P_test_180,1,1,1
P_test_181,1,1,1
P_test_182,1,1,1
P_test_183,1,1,1
P_test_184,1,1,1
P_test_185,1,1,1
P_test_186,1,1,1
P_test_187,1,1,1
P_test_188,1,1,1
P_test_189,1,1,1
P_test_190,1,1,1
P_test_191,1,1,1
P_test_192,1,1,1
P_test_193,1,1,1
P_test_194,1,1,1
P_test_195,1,1,1
P_test_196,1,1,1
P_test_197,1,1,1
P_test_198,1,1,1
P_test_199,1,1,1
P_test_200,1,1,1
P_test_201,1,1,1
P_test_202,1,1,1
